,id,time,link,message,like,share,comment,commentsHighlight
815,1282973728458676_2029944767094898,1549073219,https://www.facebook.com/CH3Thailand/videos/283188732361833/,เบื้องหลังกว่าจะมาเป็น #เพชร เรื่องที่สองใน #ซีรีส์ลูกผู้ชาย พบกับทีมนักแสดงและผู้จัด ที่จะมานั่งเล่าความสนุกใน #เปิดกองวิก3 ติดตามชมได้ในเวลา 09.15 น. ทาง #ช่อง33 ดูออนไลน์คลิก www.ch3thailand.com/live/33 หรือแอปพลิเคชัน #Ch3Thailand,161,4,0,[]
816,1282973728458676_2028822867207088,1549022401,https://www.facebook.com/CH3Thailand/videos/400513234035353/,เมื่อภูผาถูกไล่ออกจากบ้าน และเลือกทางสายนักเลง ชีวิตของเขาจะเป็นอย่างไร คืนนี้ ติดตาม ซีรีส์ลูกผู้ชาย (ภูผา) เวลา 20.00 น. เปิดทีวี #ช่อง33 ดูสดไปพร้อมกันค่ะ #Ch3Thailand,213,8,0,[]
817,1282973728458676_2028794373876604,1549015200,https://www.facebook.com/CH3Thailand/posts/2028794373876604,"""เส็ง"" ไล่ภูผาออกจากบ้าน ทำให้เขาต้องเข้าสู่วงการนักเลง http://www.ch3thailand.com/news/scoop/15909 คืนนี้ ติดตาม ซีรีส์ลูกผู้ชาย (ภูผา) เวลา 20.00 น. เปิดทีวี #ช่อง33 ดูสดไปพร้อมกันค่ะ #Ch3Thailand",276,1,0,[]
818,1282973728458676_2028603303895711,1548991440,https://www.facebook.com/CH3Thailand/posts/2028603303895711,ครอบครัวข่าวภาคเช้า ต้อนรับอบอุ่นคณะนักศึกษาจาก สปป.ลาว #Ch3Thailand -------------------------------- ติดตามข่าวสารความเคลื่อนไหว www.ch3thailand.com/news Facebook / Youtube / Instagram / Twitter : Ch3Thailand Application : Ch3Thailand,1265,11,5,"[{'id': 'Y29tbWVudDoyMDI4NjAzMzAzODk1NzExXzIwMjkxMjM5NTA1MTAzMTM=', 'time': 1549024430, 'message': 'เป็นมิตรภาพที่งดงามของบ้านพี่เมืองน้อง..\n..สายสัมพันธไมตรีไทย-ลาว..ค่ะ', 'like': 1}, {'id': 'Y29tbWVudDoyMDI4NjAzMzAzODk1NzExXzIwMjkyMzE0NjA0OTk1NjI=', 'time': 1549030422, 'message': 'เรซยิ้มหวานมาโปรโมทละครให้แม่แพทด้วย\nน่ารักที่สุดเลยคับ', 'like': 1}]"
819,1282973728458676_2026019637487411,1548892801,https://www.facebook.com/CH3Thailand/photos/a.1330600120362703/2026019364154105/?type=3,โปรแกรมน่าสนใจจากช่อง3 วันพฤหัสบดีที่ 31 มกราคม 2562 ดูเพิ่มเติมได้ที่ www.ch3thailand.com #Ch3Thailand #ช่อง33 #ช่อง28 #ช่อง13 #ทองเอกหมอยาท่าโฉลง #ชุมแพ #ชะตารักมายาลวง #มังกรหยก #ตำนานศึกเทพอินทรี #LineTVAwards2019 #บุพเพสันนิวาส,746,24,33,"[{'id': 'Y29tbWVudDoyMDI2MDE5NjM3NDg3NDExXzIwMjcwNTY5NjczODM2Nzg=', 'time': 1548894651, 'message': 'นี่ซิน่าดูที่นี้วันพุธกับพฤหัสก็มีความหมายกับเราแล้วเย้ๆๆๆ', 'like': 11}, {'id': 'Y29tbWVudDoyMDI2MDE5NjM3NDg3NDExXzIwMjcwMzMxMDA3MTkzOTg=', 'time': 1548893182, 'message': 'ต่อไปนี้ก็ดูช่อง3แบบไม่กังวลว่าจะไปเจอ อะไรๆที่ไม่อยากดูแล้ว😁😁', 'like': 5}]"
820,1282973728458676_2026463617443013,1548858242,https://www.facebook.com/CH3Thailand/videos/383655648858127/,"""แกไม่นึกถึงบุญคุณข้าวแดงแกงร้อน ที่ราดหัวแกมางั้นเหรอ"" #บ่วงนฤมิต ดูสดตอนนี้ทางทีวี #ช่อง33 ดูออนไลน์ คลิก www.ch3thailand.com/live/33 หรือดูผ่านแอปพลิเคชัน Ch3Thailand",538,7,34,"[{'id': 'Y29tbWVudDoyMDI2NDYzNjE3NDQzMDEzXzIwMjY1MzMzMzA3NjkzNzU=', 'time': 1548861680, 'message': 'ภาพรวมไม่น่าติดตาม มุมมองเดิมๆเฉื่อยๆ แบบละครคุณไก่  ซึ่งต่างจากบุพเพสันนิวาสที่มีลูกเล่นมากกว่าแม้จะเป็นละครย้อนยุค', 'like': 5}, {'id': 'Y29tbWVudDoyMDI2NDYzNjE3NDQzMDEzXzIwMjY2MzM4OTA3NTkzMTk=', 'time': 1548867408, 'message': 'เข้ามาอ่านคอมเม้นเฉยๆ \nไม่กดplayด้วยเปลืองเน็ต😏\n#ไม่ชอบบทสัมภาษณ์\n#ห้าวเป้ง\n#ยืนสวยๆ\n#ไม่ย้อนแล้วจ้า\n#ฟ้องนะมีตังค์จ่ายค่าปรับไหม', 'like': 3}]"
821,1282973728458676_2025986484157393,1548854400,https://www.facebook.com/CH3Thailand/photos/a.1330600120362703/2025986014157440/?type=3,เรื่องราวทั้งหมดจะจบลงในวันนี้ บทสรุปจะเป็นอย่างไร #บ่วงนฤมิต ดูสดตอนนี้ทางทีวี #ช่อง33 ดูออนไลน์ คลิก www.ch3thailand.com/live/33 หรือดูผ่านแอปพลิเคชัน Ch3Thailand,1109,8,236,"[{'id': 'Y29tbWVudDoyMDI1OTg2NDg0MTU3MzkzXzIwMjY0MzgxMjQxMTIyMjk=', 'time': 1548856918, 'message': 'ดูค่ะดูเป็นกำลังใจให้ค่ะคนเราก็โกหกกันทุกคนแหละแต่ผิดแค่เขาเป็นนักแสดงถ้าคาอยู่ในจุดนั้นคุนทุกคนก็ต้องมีอาการพูดไม่ถูกหรือคิดไม่ทันกันทุกคนไม่ใช่โลกสวยนะแต่คนเราต้องรุ้จักให้โอกาสค่ะเค้าผิด\nเค้าผิดครั่งแรกก็เอามาตัดสินว่าเค้าเลวจะดูเพื่อเป็นกำลังใจให้ค่ะ✌✌✌✌✌', 'like': 73}, {'id': 'Y29tbWVudDoyMDI1OTg2NDg0MTU3MzkzXzIwMjY0MzE3MzQxMTI4Njg=', 'time': 1548856548, 'message': 'ปิดตำนานละครไทย เรื่องแรก ที่คนดูแบน..นางเอก🍓🍓เกือบทั้งประเทศ', 'like': 175}]"
822,1282973728458676_2025952587494116,1548830548,https://www.facebook.com/CH3Thailand/videos/598623650583106/,"""แกจะเผาผ้ายันต์ของฉันทำไม หยุดนะ"" อาจารย์สมิงโดนจัดการบ้างแล้ว สะใจมากๆ 😡😡 รับชมละครย้อนหลัง ตุ๊กตาผี EP.8 ได้ที่ลิงก์นี้ค่ะ http://www.ch3thailand.com/news/scoop/15866 #ตุ๊กตาผี #Ch3Thailand",2537,69,3,"[{'id': 'Y29tbWVudDoyMDI1OTUyNTg3NDk0MTE2XzIwMjkyMjAxMzcxNjczNjE=', 'time': 1549029798, 'message': 'เบื่อเริ่องตุ๊กตาผีอย่างเดียว ผีกูทำไรไม่ได้ คนก็ทำไรไม่ได้ คนเลวชนะตลอด เซงแต่ก็ดู', 'like': 1}, {'id': 'Y29tbWVudDoyMDI1OTUyNTg3NDk0MTE2XzIwMjg3NDQ5ODcyMTQ4NzY=', 'time': 1549000455, 'message': 'คนเลวใส่สร้อยคอทำไม ผีดีพระคุ้มครองยังไง😤😤', 'like': 0}]"
823,1282973728458676_2025876677501707,1548825243,https://www.facebook.com/CH3Thailand/videos/2229206364035074/,"""แป้งร่ำหนูต้องระวังตัวดีๆ นะลูก แม่เป็นห่วงหนูมาก"" สงสารนวลทิพย์จริงๆ ปกป้องลูกได้ไม่เต็มที่แบบนี้ รับชมละครย้อนหลัง ตุ๊กตาผี EP.8 ได้ที่ลิงก์นี้ค่ะ http://www.ch3thailand.com/news/scoop/15866 #ตุ๊กตาผี #Ch3Thailand",1037,23,0,[]
824,1282973728458676_2024402490982459,1548738001,https://www.facebook.com/CH3Thailand/videos/216806695820381/,"""พอปืนไม่มีลูก มึงก็ไม่ต่างอะไรกับหนอนตัวนึง"" เพิก โดนจับไปอีกครั้งจนได้ 😢 รับชมละครย้อนหลัง ชุมแพ EP.16 ได้ที่ลิงก์นี้ค่ะ http://www.ch3thailand.com/news/scoop/15850 #ชุมแพ #Ch3Thailand",279,8,6,"[{'id': 'Y29tbWVudDoyMDI0NDAyNDkwOTgyNDU5XzIwMjQ1MzUwMDQzMDI1NDE=', 'time': 1548746083, 'message': 'ตำรวจชอบก้าวข้างโจรยังไงไม่ใช่เสือเพิกพูดความดีรักชาติ #ทีมเพิกชุมแพ', 'like': 1}, {'id': 'Y29tbWVudDoyMDI0NDAyNDkwOTgyNDU5XzIwMjQ0MzcxMzA5Nzg5OTU=', 'time': 1548738723, 'message': 'ไล่ยิงกันแทบเป็นแทบตายแต่พอเจอหน้ากันกับไม่ยิง555', 'like': 0}]"
825,1282973728458676_2023303434425698,1548684000,https://www.facebook.com/CH3Thailand/posts/2023303434425698,มาดูภาพน่ารักๆ เมื่อ “น้องวันใหม่” เล่นเวกบอร์ดกับเฮียบอยกันค่ะ http://www.ch3thailand.com/news/scoop/15848,836,1,1,"[{'id': 'Y29tbWVudDoyMDIzMzAzNDM0NDI1Njk4XzIwMjQzNjkxMjc2NTI0NjI=', 'time': 1548733533, 'message': 'รักบ้านฉัตร น่ารักจริงๆ😍', 'like': 0}]"
826,1282973728458676_2023115847777790,1548666000,https://www.facebook.com/CH3Thailand/videos/350986928825244/,"ตามไปเที่ยวกันต่อ กับคู่พระนางจาก ""ซีรีส์ลูกผู้ชาย:ภูผา"" อิน สาริน และพาย รินรดา ในภารกิจ ""follow you 1 วัน #เช็คอินกินเที่ยว EP.4 #อินพาย ยังพาเดินเที่ยวต่อเนื่อง คราวนี้พาไปหาของกินอร่อยๆ บ้าง ตามมาดูกันค่ะ Facebook: Ch3Thailand >>> https://bit.ly/2WnT0iK Youtube: Ch3Thailand >>> https://youtu.be/OsiwujQ5-Mw #ซีรีส์ลูกผู้ชาย #ภูผา #ช่อง33 #Ch3Thailand",67,6,0,[]
827,1282973728458676_2023115474444494,1548662419,https://www.facebook.com/CH3Thailand/videos/2426558200691061/,พ่อทองเอก มารายงานตัวแล้วจ้ะ ก่อนพบกัน 31 มกราคมนี้ ทางช่อง 3 #ทองเอกหมอยาท่าโฉลง #Ch3Thailand,1463,88,23,"[{'id': 'Y29tbWVudDoyMDIzMTE1NDc0NDQ0NDk0XzIwMjMzOTgzOTc3NDk1MzU=', 'time': 1548676093, 'message': 'ปากหวานเหลือเกิ้นนนพ่อทองเอก..เดี๋ยวจะมีความรักเป็นโขลงมาเยี่ยมท่าโฉลงจ้าาา..', 'like': 1}]"
